CLARKY
1.00000    0.00060
0.98842    0.00334
0.96196    0.00957
0.92693    0.01757
0.88968    0.02573
0.85204    0.03361
0.81437    0.04112
0.77670    0.04824
0.73907    0.05493
0.70141    0.06120
0.66384    0.06703
0.62655    0.07234
0.58950    0.07704
0.55260    0.08112
0.51561    0.08459
0.47877    0.08744
0.44218    0.08961
0.40606    0.09102
0.36994    0.09161
0.33346    0.09143
0.29668    0.09058
0.26094    0.08913
0.22740    0.08682
0.19574    0.08337
0.16505    0.07851
0.13495    0.07229
0.10649    0.06492
0.08059    0.05664
0.05908    0.04837
0.04321    0.04087
0.03176    0.03419
0.02349    0.02825
0.01735    0.02300
0.01263    0.01849
0.00895    0.01476
0.00609    0.01159
0.00388    0.00875
0.00219    0.00614
0.00098    0.00368
0.00023    0.00132
-0.00006    -0.00093
0.00012    -0.00318
0.00079    -0.00545
0.00195    -0.00773
0.00358    -0.01001
0.00568    -0.01228
0.00832    -0.01454
0.01157    -0.01673
0.01565    -0.01874
0.02085    -0.02052
0.02776    -0.02216
0.03743    -0.02406
0.05100    -0.02618
0.07092    -0.02795
0.09989    -0.02938
0.13374    -0.03018
0.16971    -0.03018
0.20699    -0.02950
0.24553    -0.02833
0.28497    -0.02688
0.32500    -0.02537
0.36515    -0.02390
0.40541    -0.02243
0.44565    -0.02096
0.48577    -0.01949
0.52569    -0.01802
0.56551    -0.01656
0.60548    -0.01509
0.64538    -0.01362
0.68515    -0.01216
0.72489    -0.01070
0.76465    -0.00924
0.80450    -0.00778
0.84449    -0.00631
0.88426    -0.00485
0.92364    -0.00341
0.96056    -0.00205
0.98809    -0.00104
1.00000    -0.00060
